song	artist	rank	date
We Are Never Ever Getting Back Together	Taylor Swift	1	2012-09-22
Ronan	Taylor Swift	16	2012-09-22
Both Of Us	B.o.B Featuring Taylor Swift	83	2012-09-22
We Are Never Ever Getting Back Together	Taylor Swift	2	2012-09-29
Ronan	Taylor Swift	36	2012-09-29
We Are Never Ever Getting Back Together	Taylor Swift	4	2012-10-06
We Are Never Ever Getting Back Together	Taylor Swift	4	2012-10-13
Begin Again	Taylor Swift	7	2012-10-13
We Are Never Ever Getting Back Together	Taylor Swift	5	2012-10-20
Red	Taylor Swift	6	2012-10-20
Begin Again	Taylor Swift	52	2012-10-20
I Knew You Were Trouble.	Taylor Swift	3	2012-10-27
We Are Never Ever Getting Back Together	Taylor Swift	5	2012-10-27
Red	Taylor Swift	54	2012-10-27
Begin Again	Taylor Swift	70	2012-10-27
We Are Never Ever Getting Back Together	Taylor Swift	4	2012-11-03
State Of Grace	Taylor Swift	13	2012-11-03
I Knew You Were Trouble.	Taylor Swift	23	2012-11-03
Red	Taylor Swift	77	2012-11-03
Begin Again	Taylor Swift	78	2012-11-03
We Are Never Ever Getting Back Together	Taylor Swift	11	2012-11-10
22	Taylor Swift	44	2012-11-10
I Almost Do	Taylor Swift	65	2012-11-10
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	67	2012-11-10
All Too Well	Taylor Swift	80	2012-11-10
Stay Stay Stay	Taylor Swift	91	2012-11-10
We Are Never Ever Getting Back Together	Taylor Swift	5	2012-11-17
I Knew You Were Trouble.	Taylor Swift	59	2012-11-17
Begin Again	Taylor Swift	68	2012-11-17
Red	Taylor Swift	89	2012-11-17
We Are Never Ever Getting Back Together	Taylor Swift	7	2012-11-24
Begin Again	Taylor Swift	71	2012-11-24
I Knew You Were Trouble.	Taylor Swift	73	2012-11-24
We Are Never Ever Getting Back Together	Taylor Swift	9	2012-12-01
Begin Again	Taylor Swift	73	2012-12-01
I Knew You Were Trouble.	Taylor Swift	77	2012-12-01
We Are Never Ever Getting Back Together	Taylor Swift	11	2012-12-08
I Knew You Were Trouble.	Taylor Swift	47	2012-12-08
Begin Again	Taylor Swift	78	2012-12-08
We Are Never Ever Getting Back Together	Taylor Swift	15	2012-12-15
I Knew You Were Trouble.	Taylor Swift	32	2012-12-15
Begin Again	Taylor Swift	77	2012-12-15
I Knew You Were Trouble.	Taylor Swift	15	2012-12-22
We Are Never Ever Getting Back Together	Taylor Swift	25	2012-12-22
Begin Again	Taylor Swift	78	2012-12-22
I Knew You Were Trouble.	Taylor Swift	10	2012-12-29
We Are Never Ever Getting Back Together	Taylor Swift	27	2012-12-29
Begin Again	Taylor Swift	75	2012-12-29
I Knew You Were Trouble.	Taylor Swift	4	2013-01-05
We Are Never Ever Getting Back Together	Taylor Swift	29	2013-01-05
Begin Again	Taylor Swift	76	2013-01-05
I Knew You Were Trouble.	Taylor Swift	2	2013-01-12
We Are Never Ever Getting Back Together	Taylor Swift	17	2013-01-12
Begin Again	Taylor Swift	63	2013-01-12
Red	Taylor Swift	80	2013-01-12
22	Taylor Swift	84	2013-01-12
I Knew You Were Trouble.	Taylor Swift	3	2013-01-19
We Are Never Ever Getting Back Together	Taylor Swift	25	2013-01-19
Begin Again	Taylor Swift	73	2013-01-19
I Knew You Were Trouble.	Taylor Swift	4	2013-01-26
We Are Never Ever Getting Back Together	Taylor Swift	39	2013-01-26
The Moment I Knew	Taylor Swift	64	2013-01-26
Begin Again	Taylor Swift	73	2013-01-26
I Knew You Were Trouble.	Taylor Swift	5	2013-02-02
We Are Never Ever Getting Back Together	Taylor Swift	46	2013-02-02
Begin Again	Taylor Swift	73	2013-02-02
I Knew You Were Trouble.	Taylor Swift	4	2013-02-09
Begin Again	Taylor Swift	78	2013-02-09
I Knew You Were Trouble.	Taylor Swift	5	2013-02-16
Begin Again	Taylor Swift	75	2013-02-16
I Knew You Were Trouble.	Taylor Swift	5	2013-02-23
Highway Don't Care	Tim McGraw With Taylor Swift	59	2013-02-23
Begin Again	Taylor Swift	71	2013-02-23
I Knew You Were Trouble.	Taylor Swift	5	2013-03-02
Begin Again	Taylor Swift	65	2013-03-02
I Knew You Were Trouble.	Taylor Swift	4	2013-03-09
I Knew You Were Trouble.	Taylor Swift	4	2013-03-16
I Knew You Were Trouble.	Taylor Swift	6	2013-03-23
Highway Don't Care	Tim McGraw With Taylor Swift	84	2013-03-23
I Knew You Were Trouble.	Taylor Swift	7	2013-03-30
22	Taylor Swift	64	2013-03-30
Highway Don't Care	Tim McGraw With Taylor Swift	81	2013-03-30
I Knew You Were Trouble.	Taylor Swift	10	2013-04-06
22	Taylor Swift	26	2013-04-06
Highway Don't Care	Tim McGraw With Taylor Swift	65	2013-04-06
I Knew You Were Trouble.	Taylor Swift	12	2013-04-13
22	Taylor Swift	33	2013-04-13
Highway Don't Care	Tim McGraw With Taylor Swift	56	2013-04-13
I Knew You Were Trouble.	Taylor Swift	16	2013-04-20
22	Taylor Swift	34	2013-04-20
Highway Don't Care	Tim McGraw With Taylor Swift	42	2013-04-20
I Knew You Were Trouble.	Taylor Swift	19	2013-04-27
Highway Don't Care	Tim McGraw With Taylor Swift	25	2013-04-27
22	Taylor Swift	32	2013-04-27
22	Taylor Swift	24	2013-05-04
I Knew You Were Trouble.	Taylor Swift	25	2013-05-04
Highway Don't Care	Tim McGraw With Taylor Swift	39	2013-05-04
22	Taylor Swift	20	2013-05-11
I Knew You Were Trouble.	Taylor Swift	34	2013-05-11
Highway Don't Care	Tim McGraw With Taylor Swift	39	2013-05-11
22	Taylor Swift	21	2013-05-18
Highway Don't Care	Tim McGraw With Taylor Swift	29	2013-05-18
I Knew You Were Trouble.	Taylor Swift	35	2013-05-18
Highway Don't Care	Tim McGraw With Taylor Swift	23	2013-05-25
22	Taylor Swift	25	2013-05-25
I Knew You Were Trouble.	Taylor Swift	36	2013-05-25
Highway Don't Care	Tim McGraw With Taylor Swift	24	2013-06-01
22	Taylor Swift	26	2013-06-01
I Knew You Were Trouble.	Taylor Swift	41	2013-06-01
Highway Don't Care	Tim McGraw With Taylor Swift	22	2013-06-08
22	Taylor Swift	23	2013-06-08
I Knew You Were Trouble.	Taylor Swift	48	2013-06-08
Highway Don't Care	Tim McGraw With Taylor Swift	22	2013-06-15
22	Taylor Swift	24	2013-06-15
I Knew You Were Trouble.	Taylor Swift	43	2013-06-15
Highway Don't Care	Tim McGraw With Taylor Swift	25	2013-06-22
22	Taylor Swift	26	2013-06-22
I Knew You Were Trouble.	Taylor Swift	42	2013-06-22
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	91	2013-06-22
Highway Don't Care	Tim McGraw With Taylor Swift	29	2013-06-29
22	Taylor Swift	32	2013-06-29
I Knew You Were Trouble.	Taylor Swift	49	2013-06-29
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	79	2013-06-29
Highway Don't Care	Tim McGraw With Taylor Swift	35	2013-07-06
22	Taylor Swift	41	2013-07-06
I Knew You Were Trouble.	Taylor Swift	49	2013-07-06
Highway Don't Care	Tim McGraw With Taylor Swift	43	2013-07-13
22	Taylor Swift	49	2013-07-13
Highway Don't Care	Tim McGraw With Taylor Swift	47	2013-07-20
22	Taylor Swift	55	2013-07-20
Highway Don't Care	Tim McGraw With Taylor Swift	56	2013-07-27
22	Taylor Swift	65	2013-07-27
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	41	2013-08-10
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	61	2013-08-17
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	61	2013-08-24
Red	Taylor Swift	100	2013-08-24
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	56	2013-08-31
Red	Taylor Swift	85	2013-08-31
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	51	2013-09-07
Red	Taylor Swift	86	2013-09-07
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	49	2013-09-14
Red	Taylor Swift	82	2013-09-14
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	43	2013-09-21
Red	Taylor Swift	76	2013-09-21
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	42	2013-09-28
Red	Taylor Swift	76	2013-09-28
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	45	2013-10-05
Red	Taylor Swift	76	2013-10-05
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	45	2013-10-12
Red	Taylor Swift	75	2013-10-12
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	41	2013-10-19
Red	Taylor Swift	73	2013-10-19
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	32	2013-10-26
Red	Taylor Swift	73	2013-10-26
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	37	2013-11-02
Red	Taylor Swift	73	2013-11-02
Sweeter Than Fiction	Taylor Swift	34	2013-11-09
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	37	2013-11-09
Red	Taylor Swift	76	2013-11-09
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	47	2013-11-16
Red	Taylor Swift	76	2013-11-16
Red	Taylor Swift	32	2013-11-23
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	55	2013-11-23
Red	Taylor Swift	51	2013-11-30
Everything Has Changed	Taylor Swift Featuring Ed Sheeran	58	2013-11-30
Red	Taylor Swift	53	2013-12-07
Red	Taylor Swift	51	2013-12-14
Shake It Off	Taylor Swift	1	2014-09-06
Shake It Off	Taylor Swift	1	2014-09-13
Shake It Off	Taylor Swift	2	2014-09-20
Shake It Off	Taylor Swift	2	2014-09-27
Shake It Off	Taylor Swift	2	2014-10-04
Shake It Off	Taylor Swift	2	2014-10-11
Shake It Off	Taylor Swift	2	2014-10-18
Shake It Off	Taylor Swift	2	2014-10-25
Shake It Off	Taylor Swift	2	2014-11-01
Out Of The Woods	Taylor Swift	18	2014-11-01
Shake It Off	Taylor Swift	2	2014-11-08
Welcome To New York	Taylor Swift	48	2014-11-08
Out Of The Woods	Taylor Swift	77	2014-11-08
Shake It Off	Taylor Swift	1	2014-11-15
Blank Space	Taylor Swift	18	2014-11-15
Style	Taylor Swift	60	2014-11-15
Welcome To New York	Taylor Swift	69	2014-11-15
Wildest Dreams	Taylor Swift	76	2014-11-15
Bad Blood	Taylor Swift Featuring Kendrick Lamar	80	2014-11-15
Shake It Off	Taylor Swift	1	2014-11-22
Blank Space	Taylor Swift	13	2014-11-22
Blank Space	Taylor Swift	1	2014-11-29
Shake It Off	Taylor Swift	3	2014-11-29
Blank Space	Taylor Swift	1	2014-12-06
Shake It Off	Taylor Swift	5	2014-12-06
Blank Space	Taylor Swift	1	2014-12-13
Shake It Off	Taylor Swift	4	2014-12-13
Blank Space	Taylor Swift	1	2014-12-20
Shake It Off	Taylor Swift	6	2014-12-20
Blank Space	Taylor Swift	1	2014-12-27
Shake It Off	Taylor Swift	10	2014-12-27
Style	Taylor Swift	76	2014-12-27
Blank Space	Taylor Swift	1	2015-01-03
Shake It Off	Taylor Swift	11	2015-01-03
Blank Space	Taylor Swift	1	2015-01-10
Shake It Off	Taylor Swift	9	2015-01-10
Bad Blood	Taylor Swift Featuring Kendrick Lamar	78	2015-01-10
Style	Taylor Swift	84	2015-01-10
Blank Space	Taylor Swift	2	2015-01-17
Shake It Off	Taylor Swift	7	2015-01-17
Style	Taylor Swift	71	2015-01-17
Blank Space	Taylor Swift	2	2015-01-24
Shake It Off	Taylor Swift	9	2015-01-24
Style	Taylor Swift	72	2015-01-24
Blank Space	Taylor Swift	3	2015-01-31
Shake It Off	Taylor Swift	5	2015-01-31
Style	Taylor Swift	52	2015-01-31
Blank Space	Taylor Swift	4	2015-02-07
Shake It Off	Taylor Swift	5	2015-02-07
Style	Taylor Swift	37	2015-02-07
Blank Space	Taylor Swift	4	2015-02-14
Shake It Off	Taylor Swift	9	2015-02-14
Style	Taylor Swift	29	2015-02-14
Blank Space	Taylor Swift	5	2015-02-21
Shake It Off	Taylor Swift	10	2015-02-21
Style	Taylor Swift	18	2015-02-21
Blank Space	Taylor Swift	7	2015-02-28
Style	Taylor Swift	10	2015-02-28
Shake It Off	Taylor Swift	15	2015-02-28
Blank Space	Taylor Swift	7	2015-03-07
Style	Taylor Swift	8	2015-03-07
Shake It Off	Taylor Swift	15	2015-03-07
Wonderland	Taylor Swift	51	2015-03-07
Style	Taylor Swift	7	2015-03-14
Blank Space	Taylor Swift	8	2015-03-14
Shake It Off	Taylor Swift	21	2015-03-14
You Are In Love	Taylor Swift	83	2015-03-14
Style	Taylor Swift	6	2015-03-21
Blank Space	Taylor Swift	10	2015-03-21
Shake It Off	Taylor Swift	24	2015-03-21
New Romantics	Taylor Swift	71	2015-03-21
Style	Taylor Swift	7	2015-03-28
Blank Space	Taylor Swift	12	2015-03-28
Shake It Off	Taylor Swift	22	2015-03-28
Style	Taylor Swift	7	2015-04-04
Blank Space	Taylor Swift	11	2015-04-04
Shake It Off	Taylor Swift	24	2015-04-04
Style	Taylor Swift	7	2015-04-11
Blank Space	Taylor Swift	13	2015-04-11
Shake It Off	Taylor Swift	24	2015-04-11
Style	Taylor Swift	7	2015-04-18
Blank Space	Taylor Swift	17	2015-04-18
Shake It Off	Taylor Swift	26	2015-04-18
Style	Taylor Swift	10	2015-04-25
Blank Space	Taylor Swift	19	2015-04-25
Shake It Off	Taylor Swift	27	2015-04-25
Style	Taylor Swift	12	2015-05-02
Blank Space	Taylor Swift	23	2015-05-02
Shake It Off	Taylor Swift	32	2015-05-02
Style	Taylor Swift	12	2015-05-09
Blank Space	Taylor Swift	24	2015-05-09
Shake It Off	Taylor Swift	33	2015-05-09
Style	Taylor Swift	15	2015-05-16
Blank Space	Taylor Swift	25	2015-05-16
Shake It Off	Taylor Swift	34	2015-05-16
Style	Taylor Swift	17	2015-05-23
Blank Space	Taylor Swift	26	2015-05-23
Shake It Off	Taylor Swift	35	2015-05-23
Style	Taylor Swift	20	2015-05-30
Blank Space	Taylor Swift	29	2015-05-30
Shake It Off	Taylor Swift	34	2015-05-30
Bad Blood	Taylor Swift Featuring Kendrick Lamar	53	2015-05-30
Bad Blood	Taylor Swift Featuring Kendrick Lamar	1	2015-06-06
Style	Taylor Swift	23	2015-06-06
Blank Space	Taylor Swift	32	2015-06-06
Shake It Off	Taylor Swift	34	2015-06-06
Bad Blood	Taylor Swift Featuring Kendrick Lamar	2	2015-06-13
Style	Taylor Swift	27	2015-06-13
Blank Space	Taylor Swift	35	2015-06-13
Shake It Off	Taylor Swift	39	2015-06-13
Bad Blood	Taylor Swift Featuring Kendrick Lamar	2	2015-06-20
Style	Taylor Swift	31	2015-06-20
Blank Space	Taylor Swift	37	2015-06-20
Shake It Off	Taylor Swift	38	2015-06-20
Bad Blood	Taylor Swift Featuring Kendrick Lamar	2	2015-06-27
Style	Taylor Swift	34	2015-06-27
Shake It Off	Taylor Swift	39	2015-06-27
Blank Space	Taylor Swift	42	2015-06-27
Bad Blood	Taylor Swift Featuring Kendrick Lamar	2	2015-07-04
Style	Taylor Swift	38	2015-07-04
Shake It Off	Taylor Swift	40	2015-07-04
Blank Space	Taylor Swift	42	2015-07-04
Bad Blood	Taylor Swift Featuring Kendrick Lamar	2	2015-07-11
Shake It Off	Taylor Swift	39	2015-07-11
Style	Taylor Swift	41	2015-07-11
Blank Space	Taylor Swift	45	2015-07-11
Bad Blood	Taylor Swift Featuring Kendrick Lamar	4	2015-07-18
Shake It Off	Taylor Swift	46	2015-07-18
Style	Taylor Swift	48	2015-07-18
Blank Space	Taylor Swift	50	2015-07-18
Bad Blood	Taylor Swift Featuring Kendrick Lamar	4	2015-07-25
Style	Taylor Swift	48	2015-07-25
Shake It Off	Taylor Swift	50	2015-07-25
Bad Blood	Taylor Swift Featuring Kendrick Lamar	4	2015-08-01
Shake It Off	Taylor Swift	47	2015-08-01
Style	Taylor Swift	48	2015-08-01
Bad Blood	Taylor Swift Featuring Kendrick Lamar	4	2015-08-08
Shake It Off	Taylor Swift	47	2015-08-08
Bad Blood	Taylor Swift Featuring Kendrick Lamar	4	2015-08-15
Shake It Off	Taylor Swift	50	2015-08-15
Bad Blood	Taylor Swift Featuring Kendrick Lamar	6	2015-08-22
Bad Blood	Taylor Swift Featuring Kendrick Lamar	9	2015-08-29
Bad Blood	Taylor Swift Featuring Kendrick Lamar	12	2015-09-05
Bad Blood	Taylor Swift Featuring Kendrick Lamar	18	2015-09-12
Wildest Dreams	Taylor Swift	15	2015-09-19
Bad Blood	Taylor Swift Featuring Kendrick Lamar	21	2015-09-19
Wildest Dreams	Taylor Swift	12	2015-09-26
Bad Blood	Taylor Swift Featuring Kendrick Lamar	25	2015-09-26
Wildest Dreams	Taylor Swift	13	2015-10-03
Bad Blood	Taylor Swift Featuring Kendrick Lamar	29	2015-10-03
Wildest Dreams	Taylor Swift	10	2015-10-10
Bad Blood	Taylor Swift Featuring Kendrick Lamar	37	2015-10-10
Wildest Dreams	Taylor Swift	8	2015-10-17
Bad Blood	Taylor Swift Featuring Kendrick Lamar	43	2015-10-17
Wildest Dreams	Taylor Swift	9	2015-10-24
Bad Blood	Taylor Swift Featuring Kendrick Lamar	46	2015-10-24
Wildest Dreams	Taylor Swift	6	2015-10-31
Bad Blood	Taylor Swift Featuring Kendrick Lamar	49	2015-10-31
Wildest Dreams	Taylor Swift	5	2015-11-07
Wildest Dreams	Taylor Swift	7	2015-11-14
Wildest Dreams	Taylor Swift	8	2015-11-21
Wildest Dreams	Taylor Swift	8	2015-11-28
Wildest Dreams	Taylor Swift	9	2015-12-05
Wildest Dreams	Taylor Swift	13	2015-12-12
Wildest Dreams	Taylor Swift	14	2015-12-19
Wildest Dreams	Taylor Swift	18	2015-12-26
Wildest Dreams	Taylor Swift	23	2016-01-02
Wildest Dreams	Taylor Swift	22	2016-01-09
Wildest Dreams	Taylor Swift	18	2016-01-16
Wildest Dreams	Taylor Swift	21	2016-01-23
Out Of The Woods	Taylor Swift	46	2016-01-23
Wildest Dreams	Taylor Swift	28	2016-01-30
Out Of The Woods	Taylor Swift	55	2016-01-30
Wildest Dreams	Taylor Swift	34	2016-02-06
Out Of The Woods	Taylor Swift	50	2016-02-06
Wildest Dreams	Taylor Swift	34	2016-02-13
Out Of The Woods	Taylor Swift	44	2016-02-13
Wildest Dreams	Taylor Swift	35	2016-02-20
Out Of The Woods	Taylor Swift	49	2016-02-20
Wildest Dreams	Taylor Swift	38	2016-02-27
Out Of The Woods	Taylor Swift	51	2016-02-27
Wildest Dreams	Taylor Swift	46	2016-03-05
Out Of The Woods	Taylor Swift	53	2016-03-05
Wildest Dreams	Taylor Swift	46	2016-03-12
Out Of The Woods	Taylor Swift	77	2016-03-12
New Romantics	Taylor Swift	73	2016-03-26
New Romantics	Taylor Swift	69	2016-04-02
New Romantics	Taylor Swift	62	2016-04-09
New Romantics	Taylor Swift	61	2016-04-16
New Romantics	Taylor Swift	62	2016-04-23
New Romantics	Taylor Swift	46	2016-04-30
New Romantics	Taylor Swift	78	2016-05-07
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	6	2016-12-31
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	18	2017-01-07
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	22	2017-01-14
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	14	2017-01-21
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	12	2017-01-28
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	8	2017-02-04
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	5	2017-02-11
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	3	2017-02-18
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	3	2017-02-25
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	2	2017-03-04
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	3	2017-03-11
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	3	2017-03-18
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	4	2017-03-25
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	4	2017-04-01
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	3	2017-04-08
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	7	2017-04-15
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	15	2017-04-22
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	26	2017-04-29
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	36	2017-05-06
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	32	2017-05-13
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	37	2017-05-20
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	46	2017-05-27
I Don't Wanna Live Forever (Fifty Shades Darker)	Zayn / Taylor Swift	48	2017-06-03
Look What You Made Me Do	Taylor Swift	77	2017-09-09
Look What You Made Me Do	Taylor Swift	1	2017-09-16
Look What You Made Me Do	Taylor Swift	1	2017-09-23
...Ready For It?	Taylor Swift	4	2017-09-23
Look What You Made Me Do	Taylor Swift	1	2017-09-30
...Ready For It?	Taylor Swift	21	2017-09-30
Look What You Made Me Do	Taylor Swift	3	2017-10-07
...Ready For It?	Taylor Swift	34	2017-10-07
Look What You Made Me Do	Taylor Swift	3	2017-10-14
...Ready For It?	Taylor Swift	39	2017-10-14
Look What You Made Me Do	Taylor Swift	5	2017-10-21
...Ready For It?	Taylor Swift	47	2017-10-21
Look What You Made Me Do	Taylor Swift	4	2017-10-28
...Ready For It?	Taylor Swift	53	2017-10-28
Look What You Made Me Do	Taylor Swift	10	2017-11-04
...Ready For It?	Taylor Swift	52	2017-11-04
Gorgeous	Taylor Swift	13	2017-11-11
Look What You Made Me Do	Taylor Swift	25	2017-11-11
...Ready For It?	Taylor Swift	46	2017-11-11
...Ready For It?	Taylor Swift	19	2017-11-18
Look What You Made Me Do	Taylor Swift	34	2017-11-18
Gorgeous	Taylor Swift	69	2017-11-18
Call It What You Want	Taylor Swift	27	2017-11-25
...Ready For It?	Taylor Swift	30	2017-11-25
Look What You Made Me Do	Taylor Swift	37	2017-11-25
Gorgeous	Taylor Swift	85	2017-11-25
...Ready For It?	Taylor Swift	18	2017-12-02
Look What You Made Me Do	Taylor Swift	31	2017-12-02
Call It What You Want	Taylor Swift	73	2017-12-02
Gorgeous	Taylor Swift	89	2017-12-02
...Ready For It?	Taylor Swift	24	2017-12-09
Look What You Made Me Do	Taylor Swift	44	2017-12-09
End Game	Taylor Swift Featuring Ed Sheeran & Future	86	2017-12-09
...Ready For It?	Taylor Swift	31	2017-12-16
Look What You Made Me Do	Taylor Swift	60	2017-12-16
End Game	Taylor Swift Featuring Ed Sheeran & Future	83	2017-12-16
End Game	Taylor Swift Featuring Ed Sheeran & Future	39	2017-12-23
...Ready For It?	Taylor Swift	43	2017-12-23
Look What You Made Me Do	Taylor Swift	72	2017-12-23
...Ready For It?	Taylor Swift	37	2017-12-30
End Game	Taylor Swift Featuring Ed Sheeran & Future	49	2017-12-30
Look What You Made Me Do	Taylor Swift	70	2017-12-30
End Game	Taylor Swift Featuring Ed Sheeran & Future	42	2018-01-03
...Ready For It?	Taylor Swift	59	2018-01-03
Look What You Made Me Do	Taylor Swift	76	2018-01-03
End Game	Taylor Swift Featuring Ed Sheeran & Future	39	2018-01-13
Look What You Made Me Do	Taylor Swift	55	2018-01-13
...Ready For It?	Taylor Swift	58	2018-01-13
End Game	Taylor Swift Featuring Ed Sheeran & Future	36	2018-01-20
...Ready For It?	Taylor Swift	80	2018-01-20
End Game	Taylor Swift Featuring Ed Sheeran & Future	18	2018-01-27
...Ready For It?	Taylor Swift	96	2018-01-27
End Game	Taylor Swift Featuring Ed Sheeran & Future	30	2018-02-03
End Game	Taylor Swift Featuring Ed Sheeran & Future	43	2018-02-10
End Game	Taylor Swift Featuring Ed Sheeran & Future	45	2018-02-17
End Game	Taylor Swift Featuring Ed Sheeran & Future	65	2018-02-24
End Game	Taylor Swift Featuring Ed Sheeran & Future	91	2018-03-03
Delicate	Taylor Swift	84	2018-03-24
Delicate	Taylor Swift	66	2018-03-31
Delicate	Taylor Swift	52	2018-04-07
Delicate	Taylor Swift	46	2018-04-14
Delicate	Taylor Swift	54	2018-04-21
Delicate	Taylor Swift	51	2018-04-28
Delicate	Taylor Swift	52	2018-05-05
Babe	Sugarland Featuring Taylor Swift	72	2018-05-05
Delicate	Taylor Swift	56	2018-05-12
Delicate	Taylor Swift	46	2018-05-19
Delicate	Taylor Swift	36	2018-05-26
Delicate	Taylor Swift	34	2018-06-02
Delicate	Taylor Swift	28	2018-06-09
Delicate	Taylor Swift	37	2018-06-16
Delicate	Taylor Swift	25	2018-06-23
Babe	Sugarland Featuring Taylor Swift	95	2018-06-23
Delicate	Taylor Swift	27	2018-06-30
Delicate	Taylor Swift	20	2018-07-07
Delicate	Taylor Swift	23	2018-07-14
Delicate	Taylor Swift	15	2018-07-21
Delicate	Taylor Swift	12	2018-07-28
Delicate	Taylor Swift	12	2018-08-04
Delicate	Taylor Swift	13	2018-08-11
Delicate	Taylor Swift	17	2018-08-18
Delicate	Taylor Swift	16	2018-08-25
Delicate	Taylor Swift	19	2018-09-01
Delicate	Taylor Swift	25	2018-09-08
Delicate	Taylor Swift	29	2018-09-15
Delicate	Taylor Swift	25	2018-09-22
Delicate	Taylor Swift	27	2018-09-29
Delicate	Taylor Swift	29	2018-10-06
Delicate	Taylor Swift	37	2018-10-13
Delicate	Taylor Swift	33	2018-10-20
Delicate	Taylor Swift	34	2018-10-27
Delicate	Taylor Swift	38	2018-11-03
Delicate	Taylor Swift	43	2018-11-10
Delicate	Taylor Swift	49	2018-11-17
ME!	Taylor Swift Featuring Brendon Urie	100	2019-05-04
ME!	Taylor Swift Featuring Brendon Urie	2	2019-05-11
ME!	Taylor Swift Featuring Brendon Urie	3	2019-05-18
ME!	Taylor Swift Featuring Brendon Urie	8	2019-05-25
ME!	Taylor Swift Featuring Brendon Urie	9	2019-06-01
ME!	Taylor Swift Featuring Brendon Urie	11	2019-06-08
ME!	Taylor Swift Featuring Brendon Urie	11	2019-06-15
ME!	Taylor Swift Featuring Brendon Urie	14	2019-06-22
You Need To Calm Down	Taylor Swift	2	2019-06-29
ME!	Taylor Swift Featuring Brendon Urie	15	2019-06-29
You Need To Calm Down	Taylor Swift	13	2019-07-06
ME!	Taylor Swift Featuring Brendon Urie	31	2019-07-06
You Need To Calm Down	Taylor Swift	13	2019-07-13
ME!	Taylor Swift Featuring Brendon Urie	39	2019-07-13
You Need To Calm Down	Taylor Swift	16	2019-07-20
ME!	Taylor Swift Featuring Brendon Urie	52	2019-07-20
You Need To Calm Down	Taylor Swift	15	2019-07-27
ME!	Taylor Swift Featuring Brendon Urie	55	2019-07-27
You Need To Calm Down	Taylor Swift	15	2019-08-03
ME!	Taylor Swift Featuring Brendon Urie	58	2019-08-03
The Archer	Taylor Swift	69	2019-08-03
You Need To Calm Down	Taylor Swift	16	2019-08-10
ME!	Taylor Swift Featuring Brendon Urie	61	2019-08-10
The Archer	Taylor Swift	79	2019-08-10
You Need To Calm Down	Taylor Swift	18	2019-08-17
ME!	Taylor Swift Featuring Brendon Urie	66	2019-08-17
You Need To Calm Down	Taylor Swift	18	2019-08-24
ME!	Taylor Swift Featuring Brendon Urie	63	2019-08-24
You Need To Calm Down	Taylor Swift	14	2019-08-31
Lover	Taylor Swift	19	2019-08-31
